Removed Member From Class: ClassName=Sheet1 Member=Analog Inputs 2
Change Component Designator: OldDesignator=Analog Inputs 1 NewDesignator=Analog Inputs
Add Net: Net with name "NetR?_1" already exists
Add Net: Net with name "NetR?_1" already exists
Add Net: Net with name "NetR?_1" already exists
Added Member To Class: ClassName=Sheet1 Member=Component P? 47589-0001
Added Member To Class: ClassName=Sheet1 Member=Component R? 0603
Added Member To Class: ClassName=Sheet1 Member=Component R? 0603
Added Member To Class: ClassName=Sheet1 Member=Component R? 0603
Added Member To Class: ClassName=Sheet1 Member=Component R? 0603
Added Member To Class: ClassName=Sheet1 Member=Component R? 0603
Added Member To Class: ClassName=Sheet1 Member=Component R? 0603
Added Member To Class: ClassName=Sheet1 Member=Component R? 0603
Added Member To Class: ClassName=Sheet1 Member=Component R? 0603
Added Member To Class: ClassName=Sheet1 Member=Component R? 0603
Added Member To Class: ClassName=Sheet1 Member=Component R? 0603
Added Member To Class: ClassName=Sheet1 Member=Component R? 0603
Added Member To Class: ClassName=Sheet1 Member=Component Y? CX2016DB40000D0FLJCC
